PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gigliotti, LM; Metcalf, EC				Gigliotti, Larry M.; Metcalf, Elizabeth Covelli			Motivations of Female Black Hills Deer Hunters	HUMAN DIMENSIONS OF WILDLIFE												State fish and wildlife agencies are particularly interested in attracting female participation because of the potential to offset declining participation in hunting. Understanding female hunters' motivations will be critical for designing effective recruitment and retention programs for women hunters. Although female participation in hunting is increasing, males still outnumber females by about tenfold. Gender differences in deer hunters were explored by comparing ratings of eight motivations (social, nature, excitement, meat, challenge, trophy, extra hunting opportunity, and solitude). Hunter types were defined by hunters' selection of the most important motivation for why they like Black Hills deer hunting. Overall, females and males were relatively similar in their ratings of the eight motivations, and we found 85% gender similarity in the selection of the most important motivation. Women were slightly more motivated by the food aspect of the hunt while men placed slightly more value on the hunt as a sporting activity.						Metcalf, Elizabeth Covelli/0000-0001-6917-8729													1087-1209	1533-158X					2016	21	4					371	378		10.1080/10871209.2016.1157714	http://dx.doi.org/10.1080/10871209.2016.1157714													WOS:000422688800008
J	Heffelfinger, JR				Heffelfinger, James R.			Obstacles to Evolutionary Consequences of Ungulate Trophy Hunting: Reply to Kardos et al	JOURNAL OF WILDLIFE MANAGEMENT																															0022-541X	1937-2817				JUL	2018	82	5					892	895		10.1002/jwmg.21487	http://dx.doi.org/10.1002/jwmg.21487													WOS:000435816100003
J	Loveridge, AJ; Valeix, M; Elliot, NB; Macdonald, DW				Loveridge, Andrew J.; Valeix, Marion; Elliot, Nicholas B.; Macdonald, David W.			The landscape of anthropogenic mortality: how African lions respond to spatial variation in risk	JOURNAL OF APPLIED ECOLOGY												1. Demography and conservation status of many wild organisms are increasingly shaped by interactions with humans. This is particularly the case for large, wide-ranging carnivores. 2. Using 206 mortality records (1999-2012) of lions in Hwange National Park, Zimbabwe, we calculated mortality rates for each source of anthropogenic mortality, modelled risk of anthropogenic mortality across the landscape accounting for time lions spent in different parts of the landscape, and assessed whether subsets of the population were more at risk. 3. Anthropogenic activities caused 88% of male and 67% of female mortalities; male mortality being dominated by trophy hunting while the sources for female mortality were more varied (bycatch snaring, retaliatory killing, hunting). 4. Landscapes of anthropogenic mortality risk revealed that communal subsistence farming areas, characterized by high risk (due to retaliatory killing) but avoided by lions, are population sinks. Trophy hunting areas and areas within protected areas bordering communal farmland, where bushmeat snaring is prevalent, form 'ecological traps' (or 'attractive sinks'). 5. Lions avoided risky areas, suggesting they may make behavioural decisions based on perceptions of risk. Experienced adults used risky areas less and incorporated lower proportions of them in their home ranges than young individuals, suggesting that the latter may either be naive or forced into peripheral habitats. 6. Synthesis and applications. This paper contributes to an understanding of how large carnivore populations are affected by anthropogenic mortality across the conservation landscape. This is critical to designing focussed, appropriate and cost-effective conservation management strategies. Agricultural areas are intuitively identified by conservationists as being risky for carnivores due to retaliatory killing, with threats largely mitigated against by improving livestock protection. However, parts of protected areas may also form less easily identified 'attractive sinks' for carnivores. In particular, trophy hunting areas adjacent to national parks need careful management to avoid damaging effects of overhunting. Law enforcement is needed to reduce the effects of bushmeat poaching on predators and other wildlife in protected areas. To be most effective, resource-limited antipoaching activities should prioritize wildlife-rich areas close to human settlement as these tend to be hot spots for bushmeat poaching.						VALEIX, Marion/0000-0002-9732-1737													0021-8901	1365-2664				JUN	2017	54	3					815	825		10.1111/1365-2664.12794	http://dx.doi.org/10.1111/1365-2664.12794													WOS:000401239100015
J	Nilsen, EB; Solberg, EJ				Nilsen, Erlend B.; Solberg, Erling J.			Patterns of hunting mortality in Norwegian moose (Alces alces) populations	EUROPEAN JOURNAL OF WILDLIFE RESEARCH												We used a simple life table approach to examine the age-specific patterns of harvest mortality in eight Norwegian moose populations during the last 15 years and tried to determine if the observed patterns were caused by hunter selectivity. The general opinion among local managers is that hunters prefer to shoot female moose not in company with calves to keep a high number of reproductive females in the population (and because of the emotional stress involved in leaving the calf/calves without a mother), and relatively large males because of the higher return with respect to meat and trophy. In support of the former view, we found the harvest mortality of adult females to be higher among pre-prime (1-3 years old) than prime-aged age classes (4-7 years old). This is probably because prime-aged females are more fecund and, therefore, more likely to be in company with one or two calves during the hunting season. As the season progressed, however, the selection pressure on barren females decreased, probably due to more productive females becoming 'legal' prey as their calf/calves were harvested. In males, we did not find any evidence of strong age-specific hunter selectivity, despite strong age-dependent variation in body mass and antler size. We suggest that this was due to the current strongly female-biased sex ratio in most Norwegian moose populations, which leaves the hunters with few opportunities to be selective within a relatively short and intensive hunting season. The management implications of these findings and to what extent the results are likely to affect the future evolution of life histories in Norwegian moose populations are discussed.					Nilsen, Erlend B/G-3134-2017	Nilsen, Erlend B/0000-0002-5119-8331													1612-4642	1439-0574				AUG	2006	52	3					153	163		10.1007/s10344-005-0023-1	http://dx.doi.org/10.1007/s10344-005-0023-1													WOS:000238708600002
J	Nuzzo, MC; Traill, LW				Nuzzo, Marcella C.; Traill, Lochran W.			What 50 years of trophy records illustrate for hunted African elephant and bovid populations	AFRICAN JOURNAL OF ECOLOGY																	Traill, Lochran W/J-8459-2012	Traill, Lochran W/0000-0001-5704-108X													0141-6707	1365-2028				JUN	2014	52	2					250	253		10.1111/aje.12104	http://dx.doi.org/10.1111/aje.12104													WOS:000334922300013
J	Bro-Jorgensen, J				Bro-Jorgensen, J.			Will their armaments be their downfall? Large horn size increases extinction risk in bovids	ANIMAL CONSERVATION												Clarifying the emergent fitness associated with sexually selected traits under the current, increasingly anthropogenic selection regimes is important to understand ongoing evolutionary changes in nature and inform the conservation management of endangered species. Several reasons exist why sexual selection may affect extinction risk. Increased risk may result either from inherent trade-offs between sexually selected traits and viability traits or from selective hunting of sexually selected species. Reduced risk is also possible, for instance if the preference for high-performing mates characteristic of sexually selected species has beneficial genetic consequences for the population. Here, I show that the threat level of bovid species increases with large male horn size. This is the first time, to my knowledge, that sexually selected weaponry has been shown to increase extinction risk at the interspecific level. However, threat level was unrelated to another trait under sexual selection, sexual body size dimorphism, indicating that the effect of sexual selection on extinction risk depends on trait-specific interactions with extrinsic factors. The results suggest that the higher threat level of long-horned species is not primarily due to current trophy hunting practices and rather point to environmentally induced viability costs as a possible main driver. Still, the fact that long-horned species are known to be preferred by trophy hunters highlights the importance of continuously monitoring trophy hunting practices to assure their long-term sustainability.																			1367-9430	1469-1795				FEB	2014	17	1					80	87		10.1111/acv.12062	http://dx.doi.org/10.1111/acv.12062													WOS:000329762100011
J	Keehner, JR; Wielgus, RB; Maletzke, BT; Swanson, ME				Keehner, Jon R.; Wielgus, Robert B.; Maletzke, Benjamin T.; Swanson, Mark E.			Effects of male targeted harvest regime on sexual segregation in mountain lion	BIOLOGICAL CONSERVATION												Male targeted harvest regimes of carnivores are now widely accepted to result in increased sexually selected infanticide (SSI). Male targeted harvest regimes of males should therefore result in increased sexually segregated habitat use in infanticidal carnivores. We tested the effects of low and high levels of male hunting mortality and associated SSI on sexually segregated habitat use in mountain lions. The "no effect of hunting" hypothesis predicts that no sexual segregation would occur or that all female mountain lions would segregate from males because of sexual dimorphism. The "hunting effect" hypothesis predicts that females with kittens would segregate from younger immigrant males in the heavily hunted population during summer when kittens are vulnerable to SSI. We rejected the "no effect" hypothesis and accepted the "hunting effect" hypothesis for mountain lions. Females with kittens avoided immigrant males in the heavily hunted population during summer others did not. This sexual segregation corresponded with females with kittens selecting for food-poor, high elevations in the heavily hunted population but not in the lightly hunted population. Avoidance of males and selection for high elevations resulted in prey switching by females with kittens from abundant primary prey in lower elevations to rare, sensitive and threatened secondary prey at higher elevations. It appears that remedial sport hunting of mountain lions to reduce predation on declining prey actually caused sexual segregation and increased predation on declining prey. We suggest that excess mortality of male carnivores could result in unanticipated cascade effects including sexual segregation and prey switching to declining prey. (C) 2015 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).					; Keehner, Jon/KFQ-1572-2024	Swanson, Mark/0000-0002-6295-2838; 													0006-3207	1873-2917				DEC	2015	192						42	47		10.1016/j.biocon.2015.09.005	http://dx.doi.org/10.1016/j.biocon.2015.09.005													WOS:000366540600005
J	Festa-Bianchet, M; Schindler, S; Pelletier, F				Festa-Bianchet, Marco; Schindler, Susanne; Pelletier, Fanie			Record Books Do Not Capture Population Trends in Horn Length of Bighorn Sheep	WILDLIFE SOCIETY BULLETIN												Many agencies and researchers use data from harvested animals to study temporal trends in phenotype. For large mammals, complete harvest records are typically only available for the past few decades, but records of the largest trophies have been collected for over a century. To examine whether record books and data from male bighorn sheep (Ovis canadensis) harvested under a minimum-curl regulation could detect temporal trends in horn length, we simulated populations of trophy-harvested male bighorn sheep where horn length was modeled to increase, remain stable, and decrease over time. All populations experienced a simulated harvest based on a minimum horn length, but only horns in the longest 5% of the initial distribution were entered in a fictional record book. We then assessed whether monitoring of harvested and "record" males detected temporal trends. Data from selective harvest underestimated declines and initially underestimated increases, but qualitatively detected both trends. Record-book entries, however, severely underestimated increases and did not detect declines, suggesting that they should not be used to monitor population trends. When these biases are taken into account, complete trophy harvest records can provide useful biological information. (C) 2015 The Wildlife Society.					; Festa-Bianchet, Marco/AER-0364-2022	Schindler, Susanne/0000-0001-7787-7642; Festa-Bianchet, Marco/0000-0002-2352-3379; Pelletier, Fanie/0000-0002-0113-5412													1938-5463					DEC	2015	39	4					746	750		10.1002/wsb.597	http://dx.doi.org/10.1002/wsb.597													WOS:000368892400009
J	Monteith, KL; Long, RA; Stephenson, TR; Bleich, VC; Bowyer, RT; Lasharr, TN				Monteith, Kevin L.; Long, Ryan A.; Stephenson, Thomas R.; Bleich, Vernon C.; Bowyer, R. Terry; Lasharr, Tayler N.			Horn size and nutrition in mountain sheep: Can ewe handle the truth?	JOURNAL OF WILDLIFE MANAGEMENT												Horns, antlers, and other horn-like structures are products of sexual selection, confer reproductive advantages, and are heritable and honest indicators of individual quality. In addition to serving key biological functions, horns and antlers garner societal interest that, when combined with the powerful motivation to acquire trophy animals, likely has spawned a growing hornographic culture fixated on males with exceptional horn-like structures. The concern that harvest of large, fast-growing males may cause evolutionary change to the very trait being sought has been the source of controversy in the popular and scientific literature over the past 2 decades. Mountain sheep (i.e., bighorn and thinhorn; Ovis spp.), possibly the only large ungulates in North America managed almost exclusively as trophy species throughout their ranges, embody this controversy, which has led to polarizing views among scientists and stakeholders as to how mountain sheep should be managed. Our goal in this commentary was to discuss the relative contributions of the key ecological and intrinsic factors that influence horn growth, how those factors might interact with harvest strategies, and identify what determinants of horn size are most amenable to management and most effective in achieving desired outcomes. Despite repeated results demonstrating that age or nutrition frequently override genetic contributions to size of horns, attention has been given to the role of genetics and its relationship to harvest of mountain sheep. Given the hyperbole surrounding trophy management and big horns, we suggest the importance of females in the management of mountain sheep has been largely forgotten. Maternal condition can instigate life-long effects on size and growth of males (via maternal effects), and abundance of females, in turn, affects nutritional limitation within populations through density-dependent feedbacks. If production of males with large horns is an objective, we contend that management programs should, integrate monitoring of nutritional status of populations, and where evidence indicates nutritional limitation through density dependence, seek to regulate abundance and per capita nutrition via harvest of females. We propose that extrinsic regulation (i.e., removal by harvest or translocation) is the most effective way to manage per capita availability of forage resources and, thus, nutritional limitation on growth of males. Not only can female harvest improve growth in body size and horns of males through enhanced nutrition of growing males and their mothers, such management also 1) may yield a nutritional buffer against environmental stochasticity and erratic population fluctuations, 2) be employed in areas where other management alternatives such as habitat manipulation may not be feasible, 3) may reduce frequency or magnitude of epizootic die-offs, and 4) will increase hunter opportunity and involvement in management. Ultimately, we call for greater recognition of the pervasive role of the ewe, and other female ungulates, in the production of trophy males, and that accordingly, females be better integrated into harvest and management programs. (c) 2017 The Wildlife Society. We discuss the relative contributions of the key ecological and intrinsic factors that influence horn growth, how those factors might interact with harvest strategies, and identify what determinants of horn size are most amenable to management and most effective in achieving desired outcomes. Ultimately, we call for greater recognition of the pervasive role of the females in the production of trophy males. Management programs should consider integrating monitoring of nutritional status of populations, and where evidence indicates nutritional limitation through density dependence, seek to regulate abundance and per capita nutrition via harvest of females.					Long, Ryan/B-6472-2012	Long, Ryan/0000-0002-0124-7641													0022-541X	1937-2817				JAN	2018	82	1			SI		67	84		10.1002/jwmg.21338	http://dx.doi.org/10.1002/jwmg.21338													WOS:000417629600007
J	Balciauskas, L				Balciauskas, Linas			Roe Deer, Lithuania's Smallest and Most Abundant Cervid	FORESTS												A review of 113 scientific and other publications on the smallest and most abundant deer in Lithuania, the roe deer (Capreolus capreolus), is presented, along with an analysis based on compound annual population growth rates of population numbers, hunting bags, and roadkill. This review covers the species' history in the country from the last glaciation onwards, the changes in numbers from 1934 to 2023, hunting bag changes from 1965 to 2022, roadkill numbers from 2002 to 2022, data on roe deer reproduction, habitat selection, genetic diversity, pathogens, and damage to forest stands. It also provides an overview of species management and selection for trophies. Despite the exponential increase in roe deer numbers since 1990 and the dominance of this species in roadkill, even on urban roads, the number and density of animals and the damage they cause to forest stands are relatively low compared to other European countries. Within the observed period, drops in numbers were related to harsh winters in 1969/1970 and 1995/1996. Poaching, especially coinciding with weakened enforcement during the period of political-economic transition in the early 1990s, has also had a negative impact on population numbers, as have recent increases in the number of large predators. Population growth over the recent period does not correlate with hunting mortality, which has remained stable at an average of 16.9% since 2002.					Balčiauskas, Linas/GRS-8910-2022	Balčiauskas, Linas/0000-0001-9672-5265														1999-4907				MAY	2024	15	5							767	10.3390/f15050767	http://dx.doi.org/10.3390/f15050767													WOS:001234828800001
J	Smolko, P; Garaj, P; Lebocky, T; Bútora, L; Pataky, T; Janáková, Z; Babic, M; Veselovská, A; Kubala, J; Kropil, R				Smolko, Peter; Garaj, Peter; Lebocky, Tibor; Butora, L'ubomir; Pataky, Tibor; Janakova, Zuzana; Babic, Martin; Veselovska, Alexandra; Kubala, Jakub; Kropil, Rudolf			Soil nutrients and deer density affect antler size of the Carpathian red deer	MAMMALIAN BIOLOGY												Size of antlers in polygynous male cervids is a result of their genetic potential and nutrition and is believed to be a reliable indicator of males' fitness and habitat quality. We used data on antler size of 1390 red deer males harvested during hunting seasons 2014/2015-2018/2019 in Slovakia to test the hypothesis that spatial variation in the size of antlers, including number of tines, mass and length of antlers, is related to environmental conditions such as availability of calcium, phosphorus and nitrogen in soils and deer density. We found that overall hunting value of antlers including number of tines, mass and length of antlers were higher in areas with higher availability of the CaCO3, P and N in soils. Moreover, we found no signs of decline in the overall score and in number of tines when availability of CaCO3 was high, in the length of antler when availability of P was high, and in the antler mass when availability of N was high. Deer density had negative effect on the antler size including the number of tines and antler length and had no effect on the onset of the peak and rate of decline except for the antler mass. Understanding the extent to which environment influences antler size in cervids is important to develop structured and region-specific policies.					Smolko, Peter/PGS-7390-2026; Veselovska, Alexandra/CAG-1749-2022; Kropil, Rudolf/AAD-8319-2019	Smolko, Peter/0000-0002-7210-2335; Kubala, Jakub/0000-0003-2051-508X; 													1616-5047	1618-1476				FEB	2022	102	1					119	130		10.1007/s42991-021-00203-5	http://dx.doi.org/10.1007/s42991-021-00203-5		JAN 2022											WOS:000740200600001
J	Grubesic, M; Urosevic, B; Mihaljevic, Z; Tomljanovic, K				Grubesic, Marijan; Urosevic, Branko; Mihaljevic, Zlatan; Tomljanovic, Kristijan			Breeding of Red Deer (Cervus elaphus L.) in Fenced Controlled Condition of Sepreshat	CROATIAN JOURNAL OF FOREST ENGINEERING												The controlled breeding of wild game has been carried out for many years as part of hunting management programs for commercially important game species. The controlled breeding of red deer in the Sepreshat polygon is the result of long-term game management in open hunting grounds, scientific research, monitoring the state of game in hunting grounds, and supply and demand. One of the reasons for controlled breeding of red deer in Croatia is certainly the reduction in population abundance of this species in the majority of hunting grounds after the Homeland War. The second reason was the intended aim of increasing the trophy quality of deer game, due to devastation of the gene fund. Issues such as the appearance of disease and parasites (giant liver fluke) demand controlled breeding and production of a healthy population that will replace the loss of the natural population. Research to monitoring growth intervals, body and trophy development, breeding technology and the justification of this type of breeding and protection of red deer was carried out in parallel with the targeted breeding of red deer. The primary objective of management at the Sepreshat polygon is the breeding of high quality Baranja red deer, with the possibility of distributing high quality breeding stock to other hunting grounds in the Republic of Croatia. The population of red deer in Baranja has very high genetic potential, and for this reason, it was used earlier in relocations to other parts of Croatia, the neighboring countries, and even to New Zealand. Researching the controlled breeding of red deer was carried out in the period 2005-2009 at the Sepreshat polygon. The Sepreshat polygon is part of the state-owned Podunavlje-Podravlje hunting ground in Baranja. Breeding of game in this polygon began in 2001, for the purpose of studying and preserving the gene fund of the red deer. The polygon originally had only 53 ha, but was gradually expanded with the addition of two fields. Therefore, in 2002, it was expanded to 58 hectares and to 66 ha in 2003. Today, the breeding grounds cover an area of 88 ha, additional areas of 56 ha, and in the most recent expansion of an area for the maturation of trophy red deer of 237 ha, resulting in a total area of 380 ha. The analysis of results of the five-year study of controlled game breeding in the Sepreshat polygon proves that the establishment of breeding grounds was made, given the population dynamics, growth intervals and potential for the sale of live game, as well as the commercial hunting of high quality trophy heads. It should be stressed that the breeding of deer game is a long process and that the first results can only be expected after five years, after the breeding stock is formed and stabilized and normal reproduction begins. The population dynamics of the red deer fund from the start of establishment of the breeding stock to the first significant results of the live game is shown in Table 1. During the five year selection of red deer for mating, only three to four of the most promising male deer (stags) were given the opportunity to mate each year. Each was placed in a separate polygon with fertile females (hinds) including young hinds participating in mating for the first time, in the ratio 1:11 to 1:16, (Table 2). The results indicate that the optimal mating ratio is one stag to ten to twelve hinds. With an increase in the sex ratio, the growth interval coefficient is reduced. This is unfavorable as the goal is to obtain the highest possible calves. One of the main parameters in the selection of young is the weight of the calf at the age of 3 weeks. The minimum level is 10 kg for a female calf and 12 kg for a male calf, as all weights beneath this are unsuitable for further breeding. Measurements also indicated that the highest growth interval of body weight was achieved at the age of 15 to 18 months (Fig. 1). One of the most important segments of maintaining good animal condition, good reproduction and good growth interval is securing sufficient and high quality food throughout the year. Though grass mixtures were sown in the polygon, in effect establishing pastures thereby allowing for the principle of polygon grazing, cultures were sown on additional surfaces to produce food for the game. Nonetheless, the backbone of the diet is the food provided to the game at the feeding sites. In line with the number of game animals in the breeding ground (according to the normative diet and real needs), some 200 tones of various foods, minerals and vitamin supplements were provided each year (Fig. 2 and 3), which represents an expense of HRK 361 000. Feed was the most significant financial expense in the management project, and accounted for 86% of the total breeding ground costs (excluding professional staff salaries and utility expenses) (Fig. 4). With revenues generated by the sale of live game and trophy hunts from the Sepreshat polygon, a positive balance can only be expected in the coming period, which is indicated by the analysis of operations in 2009, the first year that revenues exceeded expenditures. Based on the research conducted, it can be concluded that the breeding of red deer in the Sepreshat polygon is justified, as is the conservation of the gene fund of the Baranja red deer and its relocation to other hunting grounds for the purpose of improving trophy quality and for the economic justification of controlled deer breeding.					Tomljanović, Kristijan/ADZ-8969-2022														1845-5719					APR	2011	32	1					251	258																WOS:000290369000021
J	Douhard, M; Crampe, JP; Loison, A; Bonenfant, C				Douhard, Mathieu; Crampe, Jean-Paul; Loison, Anne; Bonenfant, Christophe			A negative association between horn length and survival in a weakly dimorphic ungulate	ECOLOGY AND EVOLUTION												While all models of sexual selection assume that the development and expression of enlarged secondary sexual traits are costly, males with larger ornaments or weapons generally show greater survival or longevity. These studies have mostly been performed in species with high sexual size dimorphism, subject to intense sexual selection. Here, we examined the relationships between horn growth and several survival metrics in the weakly dimorphic Pyrenean chamois (Rupicapra pyrenaica). In this unhunted population living at high density, males and females were able to grow long horns without any apparent costs in terms of longevity. However, we found a negative relationship between horn growth and survival during prime age in males. This association reduces the potential evolutionary consequences of trophy hunting in male chamois. We also found that females with long horns tended to have lower survival at old ages. Our results illustrate the contrasting conclusions that may be drawn when different survival metrics are used in analyses. The ability to detect trade-off between the expression of male secondary sexual traits and survival may depend more on environmental conditions experienced by the population than on the strength of sexual selection.					; Bonenfant, Christophe/I-8645-2019	Douhard, Mathieu/0000-0001-9422-7270; Loison, Anne/0000-0002-4252-0392; Bonenfant, Christophe/0000-0002-9924-419X													2045-7758					MAR	2020	10	6					2793	2802		10.1002/ece3.6050	http://dx.doi.org/10.1002/ece3.6050		FEB 2020						32211156					WOS:000516152300001
J	Forsyth, DM				Forsyth, DM			Long-term harvesting and male migration in a New Zealand population of Himalayan tahr Hemitragus jemlahicus	JOURNAL OF APPLIED ECOLOGY												1. Sexual differences in behaviour and ecology have important implications for the management of harvested ungulate populations. 2. This study investigated the long-term effects of harvesting on the abundance and distribution of sexes within an introduced population of Himalayan tahr in the Two Thumb and Sibbald Ranges, New Zealand. Annual counts of tahr were made from 1984 to 1996 in two catchments subject to different harvest regimes. 3. Although populations in the two catchments increased at similar rates over the study period, their adult sex ratios diverged significantly in the late 1980s. In Carneys Creek, which was subject to unrestricted harvest, the adult sex ratio was initially equivalent to the estimated population sex ratio, but from 1991 it was significantly male-biased. In North Branch, 10 km from Carneys Creek but subject only to adult (trophy) male harvest, the population was significantly female-biased in all years. 4. There was a large and male-biased harvest in Carneys Creek in 1993, suggesting that immigration of males may have been responsible for the long-term changes in sex ratio observed there. In contrast, the harvest of males in North Branch was insufficient to explain its female-biased population. 5. Monthly counts of male and female tahr in Carneys Creek between December 1993 and February 1996 revealed a consistent seasonal change in the abundance of subadult males, and perhaps adult males, but not females. Sub-adult males immigrated into Carneys Creek during spring, increasing to a summer maximum before emigrating during autumn; few sub-adult males were present during winter. 6. Counts at six additional sites during summer and autumn 1996 indicated that the probable source of these males was an adjacent hunting reserve. This hunting reserve, which included North Branch, contained a female-biased population with moderate female density. 7. The observed changes appear to have been a consequence of sexual differences in habitat selection and mobility. In particular, outside the rut the larger-bodied males avoided habitats containing high densities of females. 8. Harvesting has the potential to affect the spatial distribution of age-sex classes for sexually dimorphic ungulates. Managers need to consider these effects when designing and interpreting harvest and monitoring programmes.					Forsyth, David/AFK-3044-2022	Forsyth, David/0000-0001-5356-9573													0021-8901	1365-2664				JUN	1999	36	3					351	362		10.1046/j.1365-2664.1999.00410.x	http://dx.doi.org/10.1046/j.1365-2664.1999.00410.x													WOS:000081652300003
J	Pozo, RA; Schindler, S; Cubaynes, S; Cusack, JJ; Coulson, T; Malo, AF				Pozo, Rocio A.; Schindler, Susanne; Cubaynes, Sarah; Cusack, Jeremy J.; Coulson, Tim; Malo, Aurelio F.			Modeling the impact of selective harvesting on red deer antlers	JOURNAL OF WILDLIFE MANAGEMENT												Hunting is a common component in the management of ungulate species. Despite its widespread use, the influence of selective harvesting on phenotypic trait change is still ambiguous, and represents a critical gap in our understanding of the responses of wild populations under harvest. Using the long-term red deer (Cervus elaphus) dataset (1972-2012) from the Isle of Rum National Nature Reserve, Scotland, we assessed the relationship between antler length and key demographic processes (i.e., survival, recruitment, antler growth, parent-offspring trait correlation) for the male component of the population. We then constructed the first integral projection model for this species to examine the effects of simulated trophy hunting on 2 population-level parameters: the stable antler size distribution and the relative reproductive value of males. When male mortality rates due to hunting were <20%, the effect on antler size distribution and the reproductive value function were relatively small. However, as mortality due to hunting increased to 50% in large individuals, the direct effects of hunting on mean antler size and reproductive value became evident. Our model acts as a useful starting point to investigate the ecological and evolutionary consequences of hunting in red deer. (c) 2016 The Wildlife Society.					Coulson, Tim/AAL-8148-2021; Cubaynes, Sarah/JOK-5811-2023; Malo, Aurelio/D-3973-2011	Malo, Aurelio/0000-0002-0846-2096; Pozo, Rocío/0000-0002-7546-8076; Schindler, Susanne/0000-0001-7787-7642													0022-541X	1937-2817				AUG	2016	80	6					978	989		10.1002/jwmg.21089	http://dx.doi.org/10.1002/jwmg.21089													WOS:000379959700003
J	Baltazar-Soares, M; Brans, KI; Eizaguirre, C				Baltazar-Soares, Miguel; Brans, Kristien I.; Eizaguirre, Christophe			Human-induced evolution: Signatures, processes and mechanisms underneath anthropogenic footprints on natural systems	EVOLUTIONARY APPLICATIONS												The impact of human activities on the global environment has increased to such an extent that the current geological era has been coined the Anthropocene. Studies dedicated to understanding the evolutionary consequences of human-induced selection on all levels of diversity (species, populations, traits, genes) provide direct knowledge about the mechanisms underlying species' responses and their evolutionary potential. A better understanding of the effects of human-induced selection is needed to leverage evolved mechanisms to develop appropriate conservation programmes to guarantee the maintenance of healthy systems. In this special issue, we focus on different types of human-mediated selection pressures, from the direct harvesting of individuals (e.g. hunting, fishing), to the more pervasive effects of climate change. Contributions highlight the diversity of human-induced selection pressures ranging from fisheries, trophy-hunting, poaching and domestication to climate change, and pollution. With those, we question whether there are parallel evolutionary solutions across fisheries systems, whether hunting pressures alter population dynamics and population structure, and whether climate change is an evolutionary dead-end. The contributions reflect the direction of travel of the field and the solutions to mitigate the impact of human activities.					Baltazar-Soares, Miguel/I-2497-2019; Brans, Kristien/L-2130-2019; Eizaguirre, Christophe/K-5966-2012	Baltazar-Soares, Miguel/0000-0002-5919-6197; Brans, Kristien/0000-0002-0464-7720; 													1752-4571					OCT	2021	14	10			SI		2335	2341		10.1111/eva.13305	http://dx.doi.org/10.1111/eva.13305													WOS:000711529300003
J	von Heiseler, TN				von Heiseler, Till Nikolaus			The Social Origin of the Concept of Truth - How Statements Are Built on Disagreements	FRONTIERS IN PSYCHOLOGY												This paper proposes a social account for the origin of the truth value and the emergence of the first declarative sentence. Such a proposal is based on two assumptions. The first is known as the social intelligence hypothesis: that the cognitive evolution of humans is first and foremost an adaptation to social demands. The second is the function-first approach to explaining the evolution of traits: before a prototype of a new trait develops and the adaptation process begins, something already existing is used for a new purpose. Applied to the emergence of declarative sentences, this suggests something already existing-natural signs (which have a logical or causal relation to what they denote)-were used for the declarative function and thereby integrated (in the form of indexical objects implying a past action) into communication. I show that the display of an indexical object (such as the display of hunting trophies) can imply a conceptual structure similar to that informing the syntax of sentences. The view developed in this paper is broadly consistent with the argumentative theory of Mercier and Sperber, which suggests that reasoning is less adapted to decision making than to social purposes such as winning disputes or justifying one's actions. In this paper I extend this view to the origin of the concept of truth. According to my proposal, the first declarative sentence (articulated in a simple sign language) emerged as a negation of a negation of an implicit statement expressed by the display of an indexical object referring to a past action. Thereby, I suggest that the binary structure of the truth value underlying any declarative sentence is founded on disagreements based on conflicts of interest. Thus, I deny that the concept of truth could have evolved for instrumental reasons such as solving problems, or through self-questioning about what one ought to believe.						von Heiseler, Till Nikolaus/0000-0002-0601-5487													1664-1078					APR 28	2020	11								733	10.3389/fpsyg.2020.00733	http://dx.doi.org/10.3389/fpsyg.2020.00733								32411047					WOS:000533423700001
